City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Bathsheba,BB,2022-04-30 17:16:54,13.2167,-59.5167,86.61,70,40,16.11
218,Sinnamary,GF,2022-04-30 17:16:54,5.3833,-52.95,83.05,66,80,11.07
219,College,US,2022-04-30 17:16:55,64.8569,-147.8028,47.21,50,40,6.91
220,Dharmabad,IN,2022-04-30 17:16:55,18.9,77.85,98.15,13,28,3.83
221,Tautira,PF,2022-04-30 17:16:56,-17.7333,-149.15,79.65,75,17,15.3
222,Lorengau,PG,2022-04-30 17:16:56,-2.0226,147.2712,80.47,79,92,4.9
223,Saint-Denis,FR,2022-04-30 17:16:57,48.9167,2.3333,62.35,42,0,13.8
224,Kavaratti,IN,2022-04-30 17:16:57,10.5669,72.642,85.75,71,88,11.88
225,Massakory,TD,2022-04-30 17:16:58,12.996,15.7293,99.07,22,100,11.74
226,Bilibino,RU,2022-04-30 17:16:58,68.0546,166.4372,-4.45,100,87,4.27
227,Komsomolskiy,UZ,2022-04-30 17:16:59,40.4272,71.7189,74.12,43,0,2.3
228,Opuwo,NA,2022-04-30 17:16:59,-18.0607,13.84,76.33,36,69,1.48
229,Oviedo,ES,2022-04-30 17:17:00,43.3603,-5.8448,61.74,80,95,8.01
230,Shaunavon,CA,2022-04-30 17:17:00,49.6501,-108.4181,51.58,43,22,9.48
231,Narsaq,GL,2022-04-30 17:17:01,60.9167,-46.05,55.62,57,35,3.13
232,Volodarskiy,RU,2022-04-30 17:17:02,46.4013,48.5409,55.35,67,41,8.84
233,Algeciras,ES,2022-04-30 17:17:02,36.1333,-5.4505,67.68,52,0,8.05
234,Murgab,TM,2022-04-30 17:18:03,37.4966,61.9714,84.07,30,100,13.8
235,Homer,US,2022-04-30 17:18:03,59.6425,-151.5483,42.69,70,75,18.41
236,Pisco,PE,2022-04-30 17:18:04,-13.7,-76.2167,72.01,78,0,8.05
237,Timmins,CA,2022-04-30 17:18:05,48.4669,-81.3331,57.02,18,20,4.61
238,Nizhniy Odes,RU,2022-04-30 17:18:05,63.6445,54.856,25.65,93,100,2.82
239,Akyab,MM,2022-04-30 17:18:06,20.15,92.9,81.79,80,19,6.44
240,Inhambane,MZ,2022-04-30 17:18:06,-23.865,35.3833,73.29,78,1,5.82
241,Hamilton,US,2022-04-30 17:15:35,39.1834,-84.5333,69.66,74,100,8.05
242,Armenis,RO,2022-04-30 17:18:07,45.2,22.3167,54.72,84,90,3.51
243,Chicama,PE,2022-04-30 17:18:08,-7.8447,-79.1469,63.14,57,78,9.28
244,Jaguaribe,BR,2022-04-30 17:18:08,-5.8906,-38.6219,89.2,47,83,2.71
245,Cherskiy,RU,2022-04-30 17:18:09,68.75,161.3,-6.34,100,81,4.18
246,Kununurra,AU,2022-04-30 17:18:09,-15.7667,128.7333,78.78,94,40,3.44
247,Yumen,CN,2022-04-30 17:18:10,40.2833,97.2,47.66,23,4,2.82
248,Matamoros,MX,2022-04-30 17:18:11,25.5333,-103.25,84.31,15,0,9.22
249,Belmonte,BR,2022-04-30 17:18:11,-15.8631,-38.8828,80.69,68,16,7.02
250,Malacacheta,BR,2022-04-30 17:18:12,-17.8422,-42.0767,81.41,36,3,5.86
251,Lima,PE,2022-04-30 17:18:12,-12.0432,-77.0282,72.39,81,0,9.22
252,Umm Kaddadah,SD,2022-04-30 17:18:13,13.6017,26.6876,93.33,8,100,9.93
253,Portobelo,PA,2022-04-30 17:18:14,9.55,-79.65,86.11,82,100,3.85
254,Arona,ES,2022-04-30 17:18:14,28.0996,-16.681,70.7,52,20,23.02
255,Manta,EC,2022-04-30 17:16:53,-0.95,-80.7333,85.78,62,20,8.05
256,Kosh-Agach,RU,2022-04-30 17:18:15,50.0,88.6667,44.89,34,100,1.63
257,Broome,US,2022-04-30 17:18:16,42.2506,-75.833,60.01,27,0,12.66
258,Nanortalik,GL,2022-04-30 17:18:16,60.1432,-45.2371,38.52,85,73,2.42
259,Dafeng,CN,2022-04-30 17:15:09,23.4517,108.5881,62.74,96,100,8.81
260,Bonavista,CA,2022-04-30 17:18:17,48.6499,-53.1147,37.33,94,100,5.7
261,Ambanja,MG,2022-04-30 17:18:18,-13.6833,48.45,75.49,92,42,2.89
262,Stoholm,DK,2022-04-30 17:18:18,56.4845,9.1462,56.16,64,92,7.65
263,Zhigansk,RU,2022-04-30 17:18:19,66.7697,123.3711,32.43,91,100,35.23
264,Hay River,CA,2022-04-30 17:18:19,60.8156,-115.7999,33.76,69,0,9.22
265,Key Largo,US,2022-04-30 17:18:20,25.0865,-80.4473,82.4,51,25,11.45
266,Acajutla,SV,2022-04-30 17:18:21,13.5928,-89.8275,85.08,62,97,4.07
267,Abashiri,JP,2022-04-30 17:18:21,44.0213,144.2697,34.9,63,23,5.55
268,Verkh-Usugli,RU,2022-04-30 17:18:22,52.7,115.1667,35.08,90,96,3.4
269,Florencia,IT,2022-04-30 17:16:31,43.7667,11.25,71.78,35,0,8.05
270,Berlevag,NO,2022-04-30 17:18:23,70.8578,29.0864,24.6,61,99,19.69
271,Poltavka,RU,2022-04-30 17:18:23,54.3663,71.7632,48.87,48,93,15.23
272,Touros,BR,2022-04-30 17:16:24,-5.1989,-35.4608,85.53,63,83,15.97
273,Kholodnyy,RU,2022-04-30 17:18:24,62.7167,147.95,24.69,90,100,3.27
274,Sioux Lookout,CA,2022-04-30 17:18:24,50.1001,-91.917,55.47,26,75,9.22
275,Turbat,PK,2022-04-30 17:18:25,26.0023,63.044,96.76,23,0,19.19
276,Wuwei,CN,2022-04-30 17:18:25,37.9281,102.6414,46.6,38,99,2.62
277,Petropavlovsk-Kamchatskiy,RU,2022-04-30 17:18:26,53.0452,158.6483,28.99,74,40,6.71
278,Khasan,RU,2022-04-30 17:18:26,42.4308,130.6434,40.39,71,22,7.27
279,Viedma,AR,2022-04-30 17:18:27,-40.8135,-62.9967,59.7,29,100,17.45
280,Murakami,JP,2022-04-30 17:18:27,38.2333,139.4833,46.9,76,100,5.88
281,Magalia,US,2022-04-30 17:16:18,39.8121,-121.5783,65.12,52,100,1.01
282,Namatanai,PG,2022-04-30 17:19:28,-3.6667,152.4333,78.8,80,98,1.59
283,Linhares,BR,2022-04-30 17:19:29,-19.3911,-40.0722,86.04,47,29,9.57
284,Juneau,US,2022-04-30 17:15:31,58.3019,-134.4197,45.84,88,20,3.44
285,Chuy,UY,2022-04-30 17:15:19,-33.6971,-53.4616,62.06,53,73,5.1
286,Almaznyy,RU,2022-04-30 17:19:30,48.0448,40.045,51.08,66,98,13.8
287,Wakkanai,JP,2022-04-30 17:19:30,45.4094,141.6739,38.91,56,67,6.78
288,Ewo,CG,2022-04-30 17:19:31,-0.8725,14.8206,79.68,72,88,2.55
289,Nioro,GM,2022-04-30 17:19:31,13.35,-15.75,105.39,7,66,6.42
290,Vao,NC,2022-04-30 17:19:32,-22.6667,167.4833,74.25,81,100,22.37
291,Qaanaaq,GL,2022-04-30 17:19:32,77.484,-69.3632,18.97,71,100,6.58
292,Marawi,PH,2022-04-30 17:14:56,7.9986,124.2928,68.4,93,99,1.3
293,Gold Coast,AU,2022-04-30 17:19:33,-28.0,153.4333,68.07,96,100,5.75
294,Inverness,GB,2022-04-30 17:19:33,57.4791,-4.224,49.91,90,75,3.44
295,Pangnirtung,CA,2022-04-30 17:19:34,66.1451,-65.7125,21.2,73,100,5.75
