City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
497,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
503,San Matias,BO,78.67,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
505,Bowen,AU,75.36,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
506,Buala,SB,84.0,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
507,Laguna De Perlas,NI,80.67,overcast clouds,12.3429,-83.6712,Hotel Best View
508,Vila Franca Do Campo,PT,64.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
509,Estelle,US,84.99,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
510,Jerantut,MY,74.7,overcast clouds,3.936,102.3626,Jerantut Hill Resort
511,Ugoofaaru,MV,85.01,overcast clouds,5.6667,73.0,Ungoofaaru Inn
515,Road Town,VG,77.09,light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
516,Acarau,BR,77.85,scattered clouds,-2.8856,-40.12,castelo pizzaria
518,Gorontalo,ID,77.41,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
519,Kupang,ID,79.41,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
520,Paranaiba,BR,76.41,broken clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
521,Praia Da Vitoria,PT,60.76,few clouds,38.7333,-27.0667,Hotel Branco I
522,Sorong,ID,79.57,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
523,Port Lincoln,AU,60.53,few clouds,-34.7333,135.8667,Port Lincoln Hotel
526,Tucumcari,US,76.84,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
528,Sinnamary,GF,78.19,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
529,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
531,Ixtapa,MX,78.03,few clouds,20.7,-105.2,hotel la terminal
532,Unity,CA,60.26,broken clouds,52.4501,-109.1682,Greenhead Motel & RV Park
534,Soyo,AO,78.19,overcast clouds,-6.1349,12.3689,Hotel Mpampa
538,Statesboro,US,80.13,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
