City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Arraial Do Cabo,BR,2022-04-30 23:19:15,-22.9661,-42.0278,74.1,86,98,12.71,light rain
110,Salinopolis,BR,2022-04-30 23:19:16,-0.6136,-47.3561,77.45,89,77,7.65,light rain
111,Georgetown,MY,2022-04-30 23:14:57,5.4112,100.3354,82.33,89,20,0.0,few clouds
112,Dikson,RU,2022-04-30 23:19:16,73.5069,80.5464,17.44,94,100,17.16,overcast clouds
113,Templin,DE,2022-04-30 23:19:17,53.1186,13.5022,46.81,88,75,4.23,broken clouds
114,Ust-Nera,RU,2022-04-30 23:19:17,64.5667,143.2,32.23,89,96,6.82,overcast clouds
115,Upernavik,GL,2022-04-30 23:19:17,72.7868,-56.1549,9.81,78,35,4.45,scattered clouds
116,Birjand,IR,2022-04-30 23:19:18,32.8663,59.2211,70.27,37,100,6.91,dust
117,Guerrero Negro,MX,2022-04-30 23:19:18,27.9769,-114.0611,66.52,62,81,17.22,broken clouds
118,Souillac,MU,2022-04-30 23:19:19,-20.5167,57.5167,77.38,83,40,6.91,scattered clouds
119,Vardo,NO,2022-04-30 23:19:19,70.3705,31.1107,27.05,83,93,17.38,light snow
120,Dondo,MZ,2022-04-30 23:19:20,-19.6094,34.7431,67.51,88,0,3.94,clear sky
121,Atuona,PF,2022-04-30 23:19:20,-9.8,-139.0333,79.02,76,9,11.21,clear sky
122,Pinillos,CO,2022-04-30 23:19:20,8.9193,-74.4677,83.52,76,81,1.5,broken clouds
123,Mogadishu,SO,2022-04-30 23:17:12,2.0371,45.3438,81.63,78,100,8.61,moderate rain
124,Saint-Francois,FR,2022-04-30 23:19:21,46.4154,3.9054,42.67,87,0,2.3,clear sky
125,Pemba,MZ,2022-04-30 23:19:22,-12.974,40.5178,74.1,83,20,8.05,few clouds
126,Denizli,TR,2022-04-30 23:15:11,37.8402,29.0698,58.41,82,59,5.17,broken clouds
127,Sao Filipe,CV,2022-04-30 23:19:23,14.8961,-24.4956,73.44,72,85,8.1,overcast clouds
128,Palora,EC,2022-04-30 23:19:23,-1.7,-77.9333,68.11,97,99,2.01,overcast clouds
129,East London,ZA,2022-04-30 23:19:07,-33.0153,27.9116,61.97,70,2,11.99,clear sky
130,Kirakira,SB,2022-04-30 23:19:24,-10.4544,161.9205,83.97,72,100,3.36,overcast clouds
131,Port Alfred,ZA,2022-04-30 23:19:24,-33.5906,26.891,59.63,83,6,13.06,clear sky
132,New Norfolk,AU,2022-04-30 23:19:25,-42.7826,147.0587,60.71,62,93,4.0,overcast clouds
133,Calvinia,ZA,2022-04-30 23:19:25,-31.4707,19.776,55.71,37,31,4.94,scattered clouds
134,Parati,BR,2022-04-30 23:19:25,-23.2178,-44.7131,69.55,96,100,2.24,overcast clouds
135,Ciudad Bolivar,VE,2022-04-30 23:19:26,8.1222,-63.5497,89.98,42,99,6.64,overcast clouds
136,Altamira,BR,2022-04-30 23:19:26,-3.2033,-52.2064,74.19,97,71,0.92,broken clouds
137,Tiksi,RU,2022-04-30 23:19:27,71.6872,128.8694,33.57,95,100,12.1,overcast clouds
138,Yellowknife,CA,2022-04-30 23:19:27,62.456,-114.3525,35.56,60,0,8.05,clear sky
139,Alice Springs,AU,2022-04-30 23:16:40,-23.7,133.8833,60.35,67,100,8.05,overcast clouds
140,Bokaa,BW,2022-04-30 23:19:28,-24.45,26.0167,63.21,50,10,5.21,clear sky
141,Altay,CN,2022-04-30 23:19:29,47.8667,88.1167,50.85,30,96,9.57,overcast clouds
142,Castro,BR,2022-04-30 23:19:29,-24.7911,-50.0119,60.69,96,56,4.99,broken clouds
143,Omboue,GA,2022-04-30 23:19:29,-1.5746,9.2618,78.4,92,100,5.5,overcast clouds
144,Maceio,BR,2022-04-30 23:16:45,-9.6658,-35.7353,74.64,88,40,2.3,scattered clouds
145,Kenai,US,2022-04-30 23:19:30,60.5544,-151.2583,49.03,50,40,18.41,scattered clouds
146,La Ronge,CA,2022-04-30 23:19:30,55.1001,-105.2842,46.65,53,40,6.91,scattered clouds
147,Voh,NC,2022-04-30 23:19:31,-20.9667,164.7,80.51,66,1,3.98,clear sky
148,Poyarkovo,RU,2022-04-30 23:19:31,49.6,128.6833,43.74,66,100,6.4,overcast clouds
